"mes","dia","categoria","conteo"
"Septiembre","Martes","Otros",12200
"Septiembre","Martes","Pesado",182886
"Septiembre","Miércoles","Auto",118346
"Septiembre","Miércoles","Auto con trailer",7327
"Septiembre","Miércoles","Moto",22821
"Septiembre","Miércoles","Otros",13234
"Septiembre","Miércoles","Pesado",194292
"Septiembre","Sábado","Auto",108411
"Septiembre","Sábado","Auto con trailer",4898
"Septiembre","Sábado","Moto",18232
"Septiembre","Sábado","Otros",11596
"Septiembre","Sábado","Pesado",145823
"Septiembre","Viernes","Auto",118915
"Septiembre","Viernes","Auto con trailer",7688
"Septiembre","Viernes","Moto",23375
"Septiembre","Viernes","Otros",13030
"Septiembre","Viernes","Pesado",191008
"Abril","Domingo","Total",227937
"Abril","Jueves","Total",289738
"Abril","Lunes","Total",287724
"Abril","Martes","Total",290119
"Abril","Miércoles","Total",289522
"Abril","Sábado","Total",254989
"Abril","Viernes","Total",290004
"Agosto","Domingo","Total",239935
"Agosto","Jueves","Total",318662
"Agosto","Lunes","Total",307923
"Agosto","Martes","Total",321647
"Agosto","Miércoles","Total",319408
"Agosto","Sábado","Total",264667
"Agosto","Viernes","Total",309052
"Diciembre","Domingo","Total",264750
"Diciembre","Jueves","Total",339488
"Diciembre","Lunes","Total",318048
"Diciembre","Martes","Total",314118
"Diciembre","Miércoles","Total",330199
"Diciembre","Sábado","Total",282789
"Diciembre","Viernes","Total",329229
"Enero","Domingo","Total",218025
"Enero","Jueves","Total",268725
"Enero","Lunes","Total",271896
"Enero","Martes","Total",269713
"Enero","Miércoles","Total",271743
"Enero","Sábado","Total",231038
"Enero","Viernes","Total",274134
"Febrero","Domingo","Total",200417
"Febrero","Jueves","Total",265929
"Febrero","Lunes","Total",242994
"Febrero","Martes","Total",244274
"Febrero","Miércoles","Total",256529
"Febrero","Sábado","Total",226764
"Febrero","Viernes","Total",257598
"Julio","Domingo","Total",245648
"Julio","Jueves","Total",304955
"Julio","Lunes","Total",307682
"Julio","Martes","Total",300337
"Julio","Miércoles","Total",307763
"Julio","Sábado","Total",268646
"Julio","Viernes","Total",309553
"Junio","Domingo","Total",223374
"Junio","Jueves","Total",311729
"Junio","Lunes","Total",277426
"Junio","Martes","Total",299504
"Junio","Miércoles","Total",306514
"Junio","Sábado","Total",251031
"Junio","Viernes","Total",298776
"Marzo","Domingo","Total",216250
"Marzo","Jueves","Total",273113
"Marzo","Lunes","Total",266238
"Marzo","Martes","Total",278450
"Marzo","Miércoles","Total",275657
"Marzo","Sábado","Total",227956
"Marzo","Viernes","Total",267468
"Mayo","Domingo","Total",236631
"Mayo","Jueves","Total",295189
"Mayo","Lunes","Total",300480
"Mayo","Martes","Total",305780
"Mayo","Miércoles","Total",299316
"Mayo","Sábado","Total",247797
"Mayo","Viernes","Total",296594
"Noviembre","Domingo","Total",221647
"Noviembre","Jueves","Total",286928
"Noviembre","Lunes","Total",275488
"Noviembre","Martes","Total",281326
"Noviembre","Miércoles","Total",284113
"Noviembre","Sábado","Total",245474
"Noviembre","Viernes","Total",288387
"Octubre","Domingo","Total",222402
"Octubre","Jueves","Total",293407
"Octubre","Lunes","Total",271543
"Octubre","Martes","Total",292319
"Octubre","Miércoles","Total",283085
"Octubre","Sábado","Total",245690
"Octubre","Viernes","Total",284747
"Septiembre","Domingo","Total",268996
"Septiembre","Jueves","Total",361199
"Septiembre","Lunes","Total",335507
"Septiembre","Martes","Total",334554
"Septiembre","Miércoles","Total",356020
"Septiembre","Sábado","Total",288960
"Septiembre","Viernes","Total",354016
